Name,Phone,Address,Description,Website,Social Media
CORE LIGHTING GROUP, 18887379192,"150 W CAROB ST COMPTON, CA 90220
United States of America","A constant leader and innovator in the lighting industry, offering a wide selection of Architectural-Grade LED lighting products designed for almost any type of indoor and outdoor installation and application.",corelightingusa.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"CORELED SYSTEMS, LLC", 734-464-2464,"31478 Industrial Rd. Suite 400 Livonia, MI 48150
USA","Founded in 2003 in Plymouth, Michigan, CoreLed Systems, LLC is a privately held company that provides engineers and buyers of LED Optics and Electro-Optical Systems the best possible technology and service. CoreLed Systems LLC products include: Lenses, LED modules, Electronics and Electromechanical lighting assemblies. These products are supported with state of the art design and manufacturing services. CoreLed Systems LLC maintains capability from prototype to mass production for optical systems. Customer supported programs range from lenses produced in millions per year to Electro-Optical assemblies produced for low volume specialty applications. Our products cover commercial lighting, consumer products, medical systems and specialty market sectors. All projects are supported with the latest robust manufacturing, optical test, and validation techniques following our ISO9001 quality management system.",www.coreled.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': 'https://www.linkedin.com/in/derek-mallory-b471026a'}"
"CreeLED, Inc.", +1 877-206-5657,"4400 Silicon Drive Durham, NC 27703
USA","Cree LED, an SGH company, offers one of the industry’s broadest portfolios of application-optimized LED chips and components, leading the industry in lumen density, intensity, efficacy, optical control and reliability. Cree LED delivers best-in-class technology and breakthrough solutions for our focus applications: High Power General Lighting, Mid-Power General Lighting, Specialty Lighting and Video Screens. With more than 30 years’ experience, our products are backed by expert design assistance, superior sales support and industry-best customer service in the US, EMEA and Asia.",www.cree-led.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': 'https://www.linkedin.com/company/cree-led/mycompany/?viewAsMember=true'}"
CRESTRON ELECTRONICS, (201) 767-3400,"15 Volvo Drive Rockleigh, NJ 7647
USA","Scalable Lighting Control and Management for Your Enterprise. Crestron simplifies design, installation, and startup of commercial lighting control with the right products and systems designed to work for the needs of each space in a building and integrate easily together for enterprise-wide monitoring, management and control. Our process dramatically reduces the time required to complete each phase of a lighting control project while greatly improving efficiency and scalability.",www.crestron.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
CRISTAL CONTROLS, (418) 681-9590,"2025 Lavoisier St., Suite 135 Quebec City, QC G1N 4L6
CA","Cristal Controls manufactures energy management systems, low voltage lighting control systems, temperature controls, humidity controls, and automation electronic products for manufacturers, specialized distributors, and integrators. We design all our systems and provide the necessary product training. One of our main objectives is to ensure continued growth by delivering high-quality products within the specified deadline. We maintain close business relations with our customers by bringing them the appropriate solutions that truly fulfill their needs.",www.cristalcontrols.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
CSA GROUP TESTING & CERTIFICATION INC., +1 866 797 4272,"178 Rexdale Blvd Toronto, Ontario M9W 1R3
Canada","Rely on an internationally recognized company with over 100 years of expertise and knowledge. From our early beginnings developing standards for railway bridges to today’s latest sustainable technologies, we’re always looking forward and developing innovative standards and testing programs for the most advanced and emerging technologies. Drawing on our industry accreditations, our customer-focused experts can meet your unique testing, inspection, and certification needs. That’s how we’re committed to your business.",www.csagroup.org,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
CURRENT, 18886943533,"25825 Science Park Beachwood, OH 44122
USA","What happens when two industry innovators join forces? We’re ready to show you. GE Current, a Daintree company, and Hubbell Lighting have come together to form Current — your single source for reliable advanced lighting and intelligent controls. As Current, we’ll deliver the solutions you need and the value you seek — with greater efficiency and unrivaled customer service. Learn more at www.gecurrent.com and www.hubbelllighting.com",www.gecurrent.com,"{'Facebook': 'https://www.facebook.com/gecurrentdaintree', 'Twitter': 'https://twitter.com/gecurrent', 'LinkedIn': 'http://www.linkedin.com/company/ge-current-a-daintree-company'}"
"CUSTOM PLASTICS, INC", 847-439-6770,"1940 Lunt Ave Elk Grove Village, IL 60007
USA","Partnering with OEMs worldwide from multiple industries, we manufacture plastic parts and assemblies that reduce overall part production costs, streamline the assembly and manufacturing process, and enhance end products with our value-added finishing services. Family-owned and operated for over six decades, our experience and commitment include the latest technologies and innovations in plastic injection molding, extrusion, and engineering.",www.customplasticsinc.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"DABMAR LIGHTING, INC.", (805) 604-9090,"4693 19th St Ct E Bradenton, FL 34203
USA","Since 1990, we have been a leading supplier of Outdoor Lighting. Dabmar Lighting specializes in low and line voltage landscape lighting, commercial bollards, decorative post lighting and a complete line of sign lighting. We pride ourselves in have one of the largest selection of In-Stock outdoor lighting fixtures.",www.dabmar.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
DALI ALLIANCE (DIIA), (732) 562-5464,"c/o IEEE-ISTO 445 Hoes Lane Piscataway, NJ 08854
USA","The DALI Alliance (also known as DiiA) is an open, global consortium of lighting companies that supports development and adoption of lighting-control solutions based on Digital Addressable Lighting Interface (DALI) technology. We operate the DALI-2 and D4i certification programs, based on international standards, that build confidence in product interoperability from multiple suppliers and enable future-proof lighting products. DALI-2 and D4i enable data reporting in standardized formats for applications such as energy usage monitoring, automated commissioning, diagnostics and predictive maintenance, and luminaire asset management. Options to standardize the combination of DALI with wireless technology are in development.",www.dali-alliance.org,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
DAWNRISE INC, 909 – 895 – 7788,"21671 Gateway Center Dr STE#203 Diamond Bar, CA 91765
United States of America","Dawnrise is a leading company in the electrical lighting industry. We deliver reliable and innovative products to consumers in both the commercial and personal sector. Founded in Diamond Bar, California, Dawnrise’s mission is to better serve the American market with high quality and cost effective products along with comprehensive after care services. Winstar was established in 1998, mainly producing LED lighting products and electrical products such as under cabinet light, night light, battery sensor light, outdoor sensor light, decorative lighting fixtures and so on. Winstar’s operations consist of 32,000 square meters and over 450 employees and among them, product development personnel account for 10%. Its turnover in recent years is close to $20 million and the mainly market of Winstar are North America, Japan and Europe, and these three markets accounted for as much as 80% of business of Winstar. Winstar has passed some factory audits by authoritative certification companies such as ISO9001, BSCI and SCAN meanwhile passed some audits appointed by the retailers of USA such as GMP, COC, RESA, CTPAT, SCAN, QSA and so on. Winstar has a...",www.dawnrise.com,"{'Facebook': 'https://www.facebook.com/LEDlight.post', 'Twitter': 'https://twitter.com/Dawnrise13', 'LinkedIn': ''}"
Designing Lighting, 9177053439,"1726-C General George Patton Drive Brentwood, TN 37027
United States of America","designing lighting (dl) magazine is written and edited for lighting designers, architects, illuminating engineers, lighting industry professionals and others allied to the profession. An affiliate of Edison Report, dl was launched in 2020 and is published 6x per year. Editorial content profiles exemplary architectural lighting design, new lighting and lighting control technologies, product launches, industry news and related topics. designinglighting.com includes breaking news, native content, People on the Move, a library of continuing education credit courses, the industry’s only complete history of lighting design awards and other content. Our companion newsletter, The Spec, is published 6x per year in alternating months of the magazine and includes special editorial features not published in the magazine. Please contact Cliff Smith at 917.705.3439 for more information about all avenues we offer to promote your brand/company, both editorially and marketing-wise, including our daily podcast, Today in Lighting (TiL). Randy Reid, Editorial Director, Cliff Smith, Publisher, Angie Hullfish, Director of Audience Development.",www.designinglighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
DIMONOFF INC., 5813095900,"1015 Ave Wilfrid-Pelletier, suite 410 Suite 410 Quebec, Quebec G1W 0C4
Canada","For more than 16 years, Dimonoff has established itself as a reliable provider of connected solutions as well as a committed partner, facilitating the implementation of IoT for smart infrastructure. With its expertise in controlling and remotely managing connected assets, such as city-wide deployments of streetlight controls, Parking managment solutions and a various connected devices and IoT sensors, Dimonoff works closely with public and private sector managers, to guarantee the full implementation of largely scalable smart solutions. In addition to its solutions, Dimonoff also offers customized IoT services in electronics and software development with expertise in wireless, cloud computing, embedded systems and Linux.",www.dimonoff.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"DSM&T CO., INC.", (909) 357-7960,"10609 Business Dr Fontana, CA 92337
USA","From Custom over-Molded Connectors to Wiring Harnesses, Electrical Interconnect is our specialty. Since 1982 DSM&T has provided OEM’s in various industries the right products and solutions they need to stay ahead of the competition. DSM&T has created and developed MoistureBlock® Technology to stop water, oil, and other fluids from migrating in either direction through a power cord and individual conductors, preventing damage to involved internal circuits",www.dsmt.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
DSPM INC., (909) 930-3353,"439 S. Stoddard Ave. San Bernadinio, CA 92401
USA",,www.dspmanufacturing.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
E-LITE SEMICONDUCTOR INC, +862869263456,"507# 4 Guangbei 4 Road,Modern Industrial Park 507 Chengdu, China 611731
China",LED industrial and outdoor lighting with the smart control system.,www.elitesemicon.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"EARTHTRONICS, INC.", (231) 332-1188,"755 E. Ellis Rd. Norton Shores, MI 49441
USA","Dedicated to creating a positive impact for the environment, businesses and consumers, EarthTronics, Inc. is an LED energy efficient solutions company based in Norton Shores, Michigan. EarthTronics offers high-performance EarthBulb LED light bulbs, T8 and T5 linear LEDs, and LED fixtures that are designed for commercial buildings, hotels, restaurants, retail stores and residential homes. All EarthTronics LED products provide energy savings with a solid return on investment for energy retrofits, renovation projects and new construction. More information can be found at www.earthtronics.com.",www.earthtronics.com,"{'Facebook': 'https://www.facebook.com/earthtronics', 'Twitter': 'https://twitter.com/earthtronicsinc', 'LinkedIn': 'https://www.linkedin.com/company/earthtronics-inc-'}"
EATON, 2162257120,"1000 Eaton Boulevard Cleveland, OH 44122
United States of America","Eaton is a world leader in high-performance interconnect technologies designed for harsh environments and critical applications. Our portfolio of connectors, backshells, wire protection, cable assemblies and contacts provides a complete interconnect solution. Our differentiated technology and deep application knowledge allow us to provide engineered solutions to customers across all industries.",https://www.eaton.com,"{'Facebook': '', 'Twitter': 'https://twitter.com/eatoncorp', 'LinkedIn': 'https://www.linkedin.com/company/eaton/'}"
ECOINSIGHT, (800) 423-2050,"PO BOX 645812 Pittsburgh, PA 15264
USA","ecoInsight is a software provider for the entire lighting industry. ecoInsight develops and deploys software for electrical contractors, lighting contractors, lighting agents, lighting manufacturers, ESCOs, and more!",www.ecoinsight.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
EDISON OPTO CORPORATION, (909) 284-9710,"1809 Excise Ave Suite 201 Ontario, CA 91761
USA","Edison Opto Corporation, one of the leading public-listed LED manufacturers in Asia. The company offers a comprehensive product line ranging from Low Watt to High Watt, single-chip to multi-chip, and high flux to high CRI and Integrate AC System to domestic and international clients. Edison Opto we have an innovative design team to produce a diversified line of products customized for the most challenging fixture designs At EDISON OPTO, we never stop challenging the limitation in creating the ideal LED products for the emerging solid-state lighting field. With accomplishments in R&D, we wish to transform our expertise in LED technology to enrich our lifestyle and promote a better living environment globally.",www.edison-opto.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
EDISON PRICE LIGHTING, 718.685.0700,"5424 E. Slauson Ave. Long Island City, NY 11101
USA","Designed and crafted in New York City Since 1952, Edison Price Lighting has been setting the bar for museum-quality lighting with award-winning lighting solutions in over 450 museums and galleries worldwide. We are the trusted commercial lighting brand for world-renowned museums, upscale residential, hospitality, corporate headquarters, and culturally significant architecture including civic landmarks, government buildings, historical structures, and transportation hubs. Our product portfolio includes an extensive line of downlights and track with specification grade wallgrazers, cylinders and the 2021 LF LIA Design Excellence Award winning Infinity suspended/surface mounted sculptural linear lighting system.",www.epl.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"EELP, INC", (215) 244-4496,"One Neshaminy Interplex Suite 300 Trevose, PA 19053
USA","EELP, Inc. has 2 distinct divisions: EELP & VersaLED Lighting. EELP offers a broad range of life safety products for commercial & industrial applications. We offer inverters, exits, emergency, battery packs... VersaLED is our lighting division. It offers a wide range of fixtures for Multi-Family, interior & exterior commercial, industrial, institutional & hospitality projects. VersaLED has vanity, wall sconces, mirrors, ceiling fans, area lights, wallpacks, floods, highbays, panels, linear, strips... We're a 1-stop solution for your life safety & lighting needs!",www.eelp.net,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ELCO LIGHTING, (323)231-2600,"2042 East Vernon Ave. Vernon, CA 90058
USA","Over three decades ago, in the heart of Los Angeles, ELCO Lighting was founded on the philosophy that high quality lighting products should be sold at a fair market price. Our commitment to this philosophy and dedication to exceptional customer service serve as the very soul of our company.",www.elcolighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': 'https://www.linkedin.com/company/elcolighting/'}"
ELECTRICAL CONTRACTOR MAGAZINE, 202-991-6264,"1201 Pennsylvania Ave. NW Suite 1200 Washington, DC 20004
USA","ELECTRICAL CONTRACTOR is the leading publication in the electrical contracting industry. It covers every topic important to electrical contractors, including lighting codes, standards, safety, tools and products, markets, collaborative building methods, and emerging technologies, with a unique focus on the integration of power and sophisticated building systems. As the official magazine of NECA, it serves the entire electrical contracting industry and reaches more than 80,000 contractors per month.",www.ecmag.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ELITE LIGHTING, (877) 375-5555,"5424 E. Slauson Ave. Commerce, CA 90040
United States of America","Elite is your CHOICE for Lighting. Elite offers Color Choice, Lumen Choice and Control Choice options in nearly every one of our downlight, linear, pendant and recessed troffer products. Through mass-customization, we stock an extensive portfolio of commercial lighting products and offer modifications to provide limitless choices to fulfill everyday lighting needs – FAST. Elite Lighting is a Los Angeles area, 3rd generation, family-owned business.",iuseelite.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
EMERGENSEE LIGHTING, (215) 512-8100 Ext 303,"4 Neshaminy Interplex Drive Trevose, PA 19053
USA","Emergensee Lighting offers a comprehensive product line of quality life safety lighting at a competitive cost. PROlite LED Lighting offers a full line of indoor, outdoor, and highbay LED lighting products.",www.emergenseelight.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ENCENTIV ENERGY, 855-896-0568,"1501 Ardmore Blvd, Suite 102 Pittsburgh, PA 15221
USA","Encentiv Energy is an energy efficiency technology company in Pittsburgh, Pennsylvania. Our Encentivizer Platform is used by thousands of energy efficient product manufacturers, distributors and contractors everyday to help customers leverage thousands of rebates and incentives so they install the most energy efficient products on the market.",www.encentivenergy.com,"{'Facebook': 'https://www.facebook.com/encentivenergy/', 'Twitter': 'https://twitter.com/encentivenergy', 'LinkedIn': 'https://www.linkedin.com/company/encentiv-energy/'}"
ENERGY FOCUS, (800) 327-7877,"32000 Aurora Rd. Suite B Solon, OH 44139
USA","Energy Focus is an industry-leading innovator of sustainable LED lighting and EnFocus™ lighting control technologies plus nUVo™ by Energy Focus UVC Disinfection solutions. As the creator of the first flicker-free LED lamps, Energy Focus develops high-quality LED lighting products and controls that provide extensive energy and maintenance savings, as well as aesthetics, safety, health, and sustainability benefits over conventional lighting. Our EnFocus™ lighting control platform enables existing and new buildings to provide quality, convenient and affordable, dimmable and color-tunable, circadian, and human-centric lighting capabilities. In addition, our patent-pending UVCD technologies and products, aim to provide effective, reliable, and affordable virus-targeted disinfection solutions for buildings, facilities, and homes. Energy Focus’ customers include U.S. and U.S. ally navies, U.S. federal, state, and local governments, healthcare and educational institutions, as well as Fortune 500 companies. Since 2007, Energy Focus has installed approximately 900,000 lighting products across the U.S. Navy fleet, including tubular LEDs, waterline security lights, explosion-proof globes, and berth lights, saving more than five million gallons of fuel and 300,000 man-hours in lighting maintenance annually. Energy Focus is headquartered in Solon, Ohio....",www.energyfocus.com,"{'Facebook': 'https://www.facebook.com/EnergyFocusInc', 'Twitter': 'https://twitter.com/energyfocusinc', 'LinkedIn': 'https://www.linkedin.com/company/EnergyFocusInc'}"
ENERGY LIGHT, (224) 539-8285,"1881 Rose Road --- Lake Zurich, IL 60047
United States of America","Energy Light, Inc. is a U.S. manufacturer and wholesaler of LED light poles and brackets. We offer time-saving pre-wired turnkey LED light pole bundles by combining light poles, hardware, brackets, and LEDs to save time and effort on job sites. We stock popular steel, aluminum, and fiberglass light poles, brackets, and adapters.",www.energylightinc.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"ENLIGHTED, INC.", 650-964-1094,"3979 Freedom Circle Suite 210 Santa Clara, CA 95054
USA","Comfy | Enlighted are part of Building Robotics, Inc., a Siemens company, and a leading provider of workplace intelligence technology and integrated IoT platforms for smart, efficient, and sustainable buildings. Our end-to-end solutions are built to provide amazing workplace experiences —from the people who operate the building to the people who fill it. Our best-in-class sensor and analytics platform, provides smart energy solutions for commercial environments, saving customers up to 90% in energy costs while improving the comfort of workspaces and the efficiency of the people who work in them. We are the industry’s most comprehensive, scalable, and fastest time-to-value solution.",www.enlightedinc.com,"{'Facebook': '', 'Twitter': 'https://twitter.com/enlightedinc', 'LinkedIn': 'https://www.linkedin.com/company/enlighted-inc/'}"
ENOCEAN INC, +1.801.943 3215,"8170 S Highland Dr Ste E-1 Sandy, Utah 84093
USA","EnOcean provides valuable data for the Internet of Things (IoT) with its resource-saving energy harvesting technology. For more than 20 years, EnOcean produces maintenance-free wireless switches and sensors, which gain their energy from the surrounding – from movement, light or temperature. No batteries or cables are needed!",www.enocean.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"ENVISION LED LIGHTING, INC.", (213) 741-1550,"4845 S Eastern Ave Bell, CA 90201
USA",,www.envisionledlighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"ENVOY LIGHTING, INC.", (215) 512-7000,"4 Neshaminy Interplex Drive Suite 107 Trevose, PA 19053
USA","Envoy Lighting is a commercial and Industrial LED Lighting company. We offer quality manufactured UL and ETL listed Indoor, Outdoor, High Bay ,Life Safety and Specialty LED commercial and Specification grade light fixtures. Specializing in the MULTI -Family Residential Market with turn key solutions.",www.envoylighting.com,"{'Facebook': 'https://www.facebook.com/LightingEnvoy/', 'Twitter': '', 'LinkedIn': 'https://www.linkedin.com/company/envoy-lighting'}"
ERG LIGHTING, (607) 754-9187,"24 Charlotte Street Binghamton, NY 13760
USA","Since 1979, ERG has been designing and manufacturing power supplies for customers in the US and around the world. ERG builds and ships more than one million transformer-based products annually. In 2008, ERG began leveraging its expertise in LED control to include areas of general lighting. Today, ERG Lighting offers LED drivers for solid state lighting that surpass clients’ expectations for quality, function, and reliability. ERG Lighting, (a division of Endicott Research Group, Inc.) is a privately owned and operated company located in Binghamton, NY. ERG Lighting designs, manufactures, and distributes LED drivers for a variety of solid state lighting markets. From 12W to 400W, ERG Lighting offers a wide range of LED drivers with flicker-free dimming and user-adjustable output voltage. Ideal for indoor and outdoor applications. All drivers are UL listed/recognized for US and Canada and come with a 5-year warranty.",www.erglighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"ESPEN TECHNOLOGY, INC.", (562) 298-4198,"12257 Florence Ave Santa Fe Springs, CA 90670
USA","Espen Technology Inc. is dedicated to designing and manufacturing high quality, high performance linear LED lighting components. With operations and facilities across the world, Espen Technology offers competitive products with the highest quality. Headquartered in Southern California, Espen Technology offers personalized sales, expert technical support, and efficient logistics to all of its customers. Espen’s LED products are designed and perfected with pride in the United States, including: LED Drivers, LED Retrofit Kits, LED Linear Modules, Double-Sided Sign Lamps, Smart Linear Systems, Emergency Drivers & Ballasts, BAA/TAA Compliant Lamps & Drivers, and LED T8 & T5 Lamps (Types A, B, C, A+B, DE, Dimmable, BAA, ArmorCoat, and more). Espen Technology is certified by several entities as a minority business enterprise (MBE). Learn more at www.espentech.com .",www.espentech.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
EURI LIGHTING, (310) 787-1100,"20900 Normandie Avenue Bulding B. Torrance, CA 90502
USA","Euri Lighting is a division of leading force in LED solutions, IRtronix. Established in 2000, IRtronix specializes in UV LED components and power semiconductors. Born out of the idea to make energy-efficient lighting products accessible for all, Euri Lighting is leading the charge in technology and innovation. As a manufacturer and supplier of eco-friendly LED lighting products, we strive to continue saving energy while illuminating residential and commercial spaces. Every Euri Lighting LED bulb is manufactured by the highest standards, tested to ensure quality performance, and guaranteed to last longer and save energy with every use.",www.eurilighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"EVARI GIS CONSULTING, INC", 858-633-6447,"3047 University Ave Box 3, Suite 201 San Diego, CA 92104-3016
United States of America",Evari supports a variety of industries with the goal of aligning Geographic Information Systems (GIS) best-practices with our clients' needs. We're proud to provide highly adaptable and customized solutions for our clients. EvariLUX™ is a suite of tools to understand and analyze regional illumination photometrics within a Geographic Information System (GIS). EvariLUX is similar to bringing illumination data into Google Earth. EvariLUX strives to overcome the challenge of comprehensively understanding lighting design across an entire project area.,https://www.evarigisconsulting.com/,"{'Facebook': 'https://www.facebook.com/SDGIS/', 'Twitter': 'https://twitter.com/gis_evari', 'LinkedIn': 'https://www.linkedin.com/company/evari-gis-consulting'}"
EVLUMA, 4253365800,"3600 Lind Ave SW Suite 140 Renton, Washington 98057
United States of America","Evluma manufactures reliable, energy-efficient roadway LED lighting products for utilities and municipalities. Evluma’s products are known for being low-glare and low-maintenance. With Photocontrol Failsafe you’ll never have replace a photocontrol, saving on expensive truck rolls. Located in Renton, WA.",evluma.com,"{'Facebook': '', 'Twitter': 'https://twitter.com/Evluma1', 'LinkedIn': 'https://www.linkedin.com/company/evluma/'}"
FANLIGHT / NATURALED, (909) 930-6868,"2000 S. Grove Ave. Bldg B Ontario, CA 91761
USA","Fanlight Corporation is an Original Equipment Manufacturer with 40 years of expertise serving our customers faithfully delivering top quality products that exceed the highest standards of excellence. By creating customized, targeted solutions for specialized markets, Fanlight Corporation offers what few OEMs have: agility. Naturaled® is the signature brand of Fanlight Corporation and is home to high performance LED lighting. Using manufacturing technology and product development expertise, the Naturaled team has built a comprehensive line of LED lighting solutions. Fanlight Corporation is a leading edge company that produces several name brands that offer practical, lighting solutions, electrical and industrial products, and energy efficient, LED fixtures.",http://mynaturaled.com/,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
FERROLUCE SRL, +39 0481909541,"Via XXV Maggio 17 Romans d'lsonzo, IT-V 34076
IT","Ceramic lighting exclusively handmade in Italy, each piece has its own unique personality. When decorating industrial, vintage, transitional, minimal spaces, etc., the Ferroluce designs convey the Italian translation of excellence in every application.",www.ferroluce.it,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"FOCUS INDUSTRIES, INC.", 949-830-3390,"25301 COMMERCENTRE DR LAKE FOREST, CA 92630-8808
USA","FOCUS is proud to be one of the few dedicated US lighting manufacturers. Our product line of architectural, landscape, and other outdoor lighting products comes with a custom touch. FOCUS offers its large and extensive product line in multiple finishes, materials, voltages, light sources and accessories. Just about any exterior application can be made your way by FOCUS.",www.focusindustries.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
FSC LIGHTING, 9099488878,"9120 Center Avenue Rancho Cucamonga, CA 91730
United States of America","Founded in 1969, FSC is an energy-efficient lighting manufacturer that believes in going beyond efficiency. At our headquarters in Rancho Cucamonga, California, we make and assemble commercial and industrial energy-efficient lighting solutions. At FSC, we go beyond efficiency every day. That means our customers enjoy comprehensive product support, fast and affordable customization, easy lighting controls integration and application-specific lighting solutions. Our “Made With Care” program integrates teams of developmentally disabled adults into our product assembly and testing processes, through a partnership with Anthesis. Learn more at www.fsclighting.com.",www.fsclighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
FSP POWERTEK INC., (949) 877-3713,"8831 Research Dr. Ste 200 Irvine, CA 92618
USA","FSP GROUP FSP Group is one of the global leading power supply manufacturer. Since its establishment in 1993, FSP Group has followed the management conception “service, profession, and innovation” to continuously fulfill its responsibilities as a green en",www.fspusainc.com/,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
FULHAM, (323) 779-2980,"12705 S Van Ness Ave Hawthorne, CA 90250
USA","Fulham designs and manufactures the most innovative, essential components in the industry. Fulham enables customers to build best-in-class equipment in their given fields, making their products more relevant, differentiated and profitable. Fulham's primary focus and product strategies center around necessary components for critical health & safety applications, including: 1) Germicidal UV items for air, surface & water purification; 2) Emergency/Exit Solutions mandated by fire & safety building codes; 3) Horticultural Systems for maximizing vertical farming yields; and 4) Low Temperature power & light solutions for reliable industrial food & medicine storage. Enviably high reliability, cost-competitiveness and world-class customer responsiveness make Fulham the preferred, trusted partner to our clients worldwide.",www.fulham.com,"{'Facebook': 'https://www.facebook.com/FulhamUS/', 'Twitter': 'https://twitter.com/FulhamUSA', 'LinkedIn': 'https://www.linkedin.com/company/fulham/'}"
"FUNCTIONAL DEVICES, INC.", (765) 883-5538,"101 Commerce Drive Sharpsville, IN 46068
USA","Functional Devices, Inc. has designed and manufactured electronic devices in the USA since 1969, celebrating our 53rd anniversary this year. Our current product offerings include our UL924 Emergency Lighting Automatic Load Control relays, ByPass/Shunt relays and our NEW EMPS Inverter series. Also included is our Phase Angle Dimmers, small Light Controllers and our Latching Relay series.",www.functionaldevices.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"GAMA SONIC USA, INC.", 678-736-8308,"6185-F Jimmy Carter Blvd Norcross, GA 30071
United States of America","Gama Sonic is an innovative world leader in upscale, bright and durable solar lighting for homes, businesses, and outdoor spaces. We develop, manufacture, and market residential and commercial grade, energy-efficient, outdoor solar-powered lighting products.",gamasonic.com,"{'Facebook': 'https://www.facebook.com/GamaSonicUSA/', 'Twitter': 'https://twitter.com/gamasonicusa', 'LinkedIn': 'https://www.linkedin.com/company/gama-sonic-usa'}"
GENESIS PLASTICS TECHNOLOGIES, (970) 356-3487,"1226 E 18th Street Greeley, CO 80631
USA","Genesis has a mix of standard and custom-built thermoforming and post processing equipment. As you create your dream project our engineering staff will support you as they design and build the components, tooling and auxiliary equipment needed to bring your design to production whether you're manufacturing 1 or 100 million. Genesis forms and ships millions of reflectors every year world-wide to Europe, Asia and Indonesia for installation into lighting fixtures. We are now expanding our reflectors into the quickly developing and growing UVC reflectors for disinfection of surfaces.",www.genesisplastech.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
GIGAHERTZ-OPTIK INC., 978-462-1818,"110 Haverhill Road Bldg B - Ste 205 Amesbury, MA 01913
USA","Gigahertz-Optik manufactures innovative light measurement instrumentation for specification critical industrial, medical and research applications. A complete instrumentation line of standard, private label options and custom design solutions are available for UV-Vis-NIR radiometric, photometric, color and spectral measurement of traditional light and LED based sources. The product line covers a wide range of applications include optometers, radiometers, photometers, color meters, laser power meters, spectrometers, hand-held spectrophotometer, pulsed light analyzers & dataloggers, current-to-voltage detector amplifiers, integrating spheres, goniometers, optically diffuse materials, calibration lamp and detector standards, light reflection / transmission meters and all associated accessory components. Our optical radiation calibration laboratory is ISO/IEC 17025 accredited to ensure the highest industry level traceable calibration. Whether you are looking for a simple portable light meter, an OEM supplier or a fully customized system, we can help while staying within budget.",www.gigahertz-optik.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
